Date,Temperature moyenne (°C),Precipitation (mm),Humidite moyenne (%)
2016-11-15,15.612583,0.0,58.05197
2016-11-16,16.506334,0.0,48.64955
2016-11-17,15.383415,0.0,58.86909
2016-11-18,14.260499,0.0,70.55013
2016-11-19,14.268833,0.0,80.14013
2016-11-20,14.689667,0.0,78.558426
2016-11-21,16.150082,2.1,77.53872
2016-11-22,12.781333,16.099998,93.278786
2016-11-23,10.300083,3.9,84.89597
2016-11-24,11.243832,0.6,79.39439
2016-11-25,13.845917,1.2,68.818306
2016-11-26,12.645917,12.600001,89.512146
2016-11-27,12.508416,26.800001,91.97901
2016-11-28,12.916749,1.4000001,85.87433
2016-11-29,12.818833,0.0,78.74854
2016-11-30,14.000083,0.0,77.746544
2016-12-01,15.754249,0.1,70.44692
2016-12-02,15.820916,2.8999999,69.665596
2016-12-03,16.368832,6.8,80.62411
2016-12-04,15.1500845,11.6,90.09293
2016-12-05,15.168831,12.200001,94.536934
2016-12-06,15.356335,0.3,89.3603
2016-12-07,15.362583,0.0,76.50846
2016-12-08,14.625083,0.0,72.785065
2016-12-09,14.768833,0.0,72.97803
2016-12-10,13.495915,0.0,74.97686
2016-12-11,12.808418,0.0,82.15444
2016-12-12,12.287583,0.0,85.18847
2016-12-13,11.354251,0.0,85.99698
2016-12-14,11.74175,3.5,83.75008
2016-12-15,11.612583,0.4,82.52298
2016-12-16,9.800083,23.499998,86.99755
2016-12-17,9.068833,0.2,81.460846
2016-12-18,8.90425,0.3,80.61937
2016-12-19,10.30425,1.5000001,84.169075
2016-12-20,10.895916,1.6000001,89.93453
2016-12-21,10.583415,0.0,84.47399
2016-12-22,11.237583,0.0,79.56711
2016-12-23,11.183415,0.0,74.949
2016-12-24,11.014667,0.0,75.34656
2016-12-25,11.627166,0.0,71.63653
2016-12-26,11.420917,0.0,76.39141
2016-12-27,11.539668,0.0,77.34127
2016-12-28,10.937583,0.0,78.19376
2016-12-29,11.123,0.0,74.74471
2016-12-30,11.158416,0.0,78.57827
2016-12-31,10.716748,0.0,80.34236
2017-01-01,10.430917,0.0,77.05289
2017-01-02,12.455917,0.0,51.542103
2017-01-03,14.105916,0.0,41.365494
2017-01-04,13.728833,0.0,44.85904
2017-01-05,12.318417,0.0,65.79252
2017-01-06,12.045501,0.0,78.263504
2017-01-07,11.285083,0.0,75.40874
2017-01-08,11.5955,0.0,75.47286
2017-01-09,10.572583,0.0,84.842155
2017-01-10,9.962166,0.0,85.714905
2017-01-11,12.7455,0.5,82.629036
2017-01-12,12.701751,0.0,52.7731
2017-01-13,11.405915,0.0,86.88043
2017-01-14,11.030915,0.1,77.347885
2017-01-15,9.124667,0.0,56.782806
2017-01-16,8.46425,0.0,52.93231
2017-01-17,9.151751,0.0,70.11095
2017-01-18,9.47675,0.6,80.81462
2017-01-19,6.2267494,1.9000001,73.111
2017-01-20,6.230917,8.7,89.20397
2017-01-21,6.935083,2.3999999,86.08518
2017-01-22,7.9621654,1.7,84.03352
2017-01-23,8.768417,6.6999993,83.29485
2017-01-24,9.328833,0.0,71.76911
2017-01-25,8.683,0.0,70.223885
